seed,K,M,mv,isp,gap
1000,2,10000,0.8512,0.8959,0.04470000000000007
1001,2,10000,0.8433,0.9004,0.05709999999999993
1002,2,10000,0.8465,0.8975,0.050999999999999934
1003,2,10000,0.8478,0.9019,0.05410000000000004
1004,2,10000,0.8503,0.9017,0.0514
1005,2,10000,0.8515,0.9055,0.05399999999999994
1006,2,10000,0.8476,0.9012,0.05359999999999998
1007,2,10000,0.8488,0.8995,0.05069999999999997
1008,2,10000,0.8475,0.8955,0.04799999999999993
1009,2,10000,0.8509,0.9028,0.05190000000000006
1010,2,10000,0.8396,0.8964,0.05679999999999996
1011,2,10000,0.8455,0.8974,0.051899999999999946
1012,2,10000,0.8533,0.9066,0.053300000000000014
1013,2,10000,0.8502,0.908,0.057800000000000074
1014,2,10000,0.8532,0.9049,0.05170000000000008
1015,2,10000,0.8558,0.9008,0.04500000000000004
1016,2,10000,0.8503,0.9028,0.0525000000000001
1017,2,10000,0.8475,0.9006,0.053099999999999925
1018,2,10000,0.8524,0.9032,0.050799999999999956
1019,2,10000,0.8442,0.9006,0.056400000000000006
1020,2,10000,0.8477,0.9012,0.05349999999999999
1021,2,10000,0.8492,0.9025,0.053300000000000014
1022,2,10000,0.8483,0.8995,0.05119999999999991
1023,2,10000,0.8465,0.9038,0.05730000000000002
1024,2,10000,0.8526,0.9016,0.04899999999999993
1025,2,10000,0.85,0.8963,0.04630000000000001
1026,2,10000,0.8507,0.906,0.055300000000000016
1027,2,10000,0.8508,0.9006,0.049799999999999955
1028,2,10000,0.846,0.8962,0.05020000000000002
1029,2,10000,0.8499,0.9017,0.05179999999999996
1030,2,10000,0.8534,0.9049,0.05149999999999999
1031,2,10000,0.8453,0.8985,0.053199999999999914
1032,2,10000,0.8528,0.9012,0.0484
1033,2,10000,0.8479,0.8965,0.04859999999999998
1034,2,10000,0.8527,0.9051,0.0524
1035,2,10000,0.8527,0.9017,0.04899999999999993
1036,2,10000,0.8542,0.9056,0.0514
1037,2,10000,0.8562,0.9054,0.04920000000000002
1038,2,10000,0.8503,0.8991,0.048800000000000066
1039,2,10000,0.853,0.9051,0.052100000000000035
1040,2,10000,0.8502,0.9003,0.05010000000000003
1041,2,10000,0.847,0.9019,0.05490000000000006
1042,2,10000,0.8532,0.9024,0.04920000000000002
1043,2,10000,0.8463,0.9058,0.0595
