dataset,ensemble,ow_l,ow_i,isp,mv
UltraFeedback,"GS, QS, LS, PS",73.66,73.66,73.26,72.21
UltraFeedback,"GS, QS, LS, PW",72.64,72.64,72.09,69.89
UltraFeedback,"GW, QS, LS, PS",70.88,71.15,70.78,68.01
UltraFeedback,"GW, QS, LS, PW",69.00,69.00,67.73,65.11
UltraFeedback,"GS, QS, LW, PS",73.66,73.66,73.18,72.11
UltraFeedback,"GS, QS, LW, PW",72.64,72.64,71.57,69.23
UltraFeedback,"GW, QS, LW, PS",71.15,71.15,70.46,67.20
UltraFeedback,"GW, QS, LW, PW",67.10,67.10,66.77,64.18
UltraFeedback,"GS, QW, LS, PS",71.19,71.19,71.74,71.15
UltraFeedback,"GS, QW, LS, PW",69.17,69.17,68.66,67.81
UltraFeedback,"GW, QW, LS, PS",69.87,69.87,67.97,66.09
UltraFeedback,"GW, QW, LS, PW",63.08,63.08,63.90,62.84
UltraFeedback,"GS, QW, LW, PS",72.78,72.78,70.17,70.23
UltraFeedback,"GS, QW, LW, PW",69.17,69.17,67.30,66.59
UltraFeedback,"GW, QW, LW, PS",68.33,68.33,66.45,64.75
UltraFeedback,"GW, QW, LW, PW",63.32,63.32,62.41,61.07
MMLU,"GS, QS, LS, PS",90.37,90.37,90.01,89.32
MMLU,"GS, QS, LS, PW",89.59,89.74,89.26,87.09
MMLU,"GW, QS, LS, PS",87.62,87.57,87.08,86.06
MMLU,"GW, QS, LS, PW",85.36,85.36,83.33,82.60
MMLU,"GS, QS, LW, PS",90.42,90.51,90.20,89.57
MMLU,"GS, QS, LW, PW",89.63,89.61,88.99,86.82
MMLU,"GW, QS, LW, PS",87.90,87.91,87.23,86.01
MMLU,"GW, QS, LW, PW",84.72,84.75,82.88,81.38
MMLU,"GS, QW, LS, PS",89.03,89.03,88.57,87.49
MMLU,"GS, QW, LS, PW",87.27,87.27,85.14,84.26
MMLU,"GW, QW, LS, PS",84.58,84.58,83.92,83.57
MMLU,"GW, QW, LS, PW",80.82,80.77,80.45,79.98
MMLU,"GS, QW, LW, PS",89.35,89.38,88.64,87.55
MMLU,"GS, QW, LW, PW",86.73,86.77,84.75,83.26
MMLU,"GW, QW, LW, PS",84.49,84.80,84.03,82.89
MMLU,"GW, QW, LW, PW",80.10,80.39,79.40,78.18
ARMMAN,"GS, QS, LS, PS",85.78,85.78,85.78,85.24
ARMMAN,"GS, QS, LS, PW",85.38,85.35,85.35,83.41
ARMMAN,"GW, QS, LS, PS",84.30,84.57,82.77,78.96
ARMMAN,"GW, QS, LS, PW",77.92,81.04,79.50,75.74
ARMMAN,"GS, QS, LW, PS",85.78,85.78,85.78,84.83
ARMMAN,"GS, QS, LW, PW",85.35,85.35,85.35,82.55
ARMMAN,"GW, QS, LW, PS",84.30,84.59,82.32,78.76
ARMMAN,"GW, QS, LW, PW",74.48,77.46,77.37,74.99
ARMMAN,"GS, QW, LS, PS",84.89,84.89,85.18,81.33
ARMMAN,"GS, QW, LS, PW",85.32,81.16,80.64,78.08
ARMMAN,"GW, QW, LS, PS",84.30,73.36,73.31,72.72
ARMMAN,"GW, QW, LS, PW",74.48,68.85,68.82,69.06
ARMMAN,"GS, QW, LW, PS",84.63,84.58,83.66,78.00
ARMMAN,"GS, QW, LW, PW",85.32,79.75,80.06,74.73
ARMMAN,"GW, QW, LW, PS",84.30,68.53,72.16,70.10
ARMMAN,"GW, QW, LW, PW",74.48,74.48,67.06,65.35
